State;Crop;District;Year;Year Min;Season;Area (Hectares);Production (Tonnes);Yield (Tonnes/Hectare);Sale price (USD/Tonnes);Sale price (USD/Tonnes)
Madhya Pradesh;Arhar/Tur;DATIA; 2019-20;2019;Kharif     ;5;4;0,8;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DEWAS; 1997-98;1997;Kharif     ;10100;5200;0,514851485;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DEWAS; 1998-99;1998;Kharif     ;9800;6700;0,683673469;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DEWAS; 1999-00;1999;Kharif     ;8870;5951;0,670913191;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DEWAS; 2000-01;2000;Kharif     ;8993;5362;0,596241521;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DEWAS; 2001-02;2001;Kharif     ;10060;7097;0,705467197;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DEWAS; 2002-03;2002;Kharif     ;7584;3866;0,509757384;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DEWAS; 2003-04;2003;Kharif     ;10079;6249;0,620001984;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DEWAS; 2004-05;2004;Kharif     ;8977;4753;0,529464186;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DEWAS; 2005-06;2005;Kharif     ;7998;4450;0,556389097;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DEWAS; 2006-07;2006;Kharif     ;7839;4375;0,558106901;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DEWAS; 2007-08;2007;Kharif     ;6782;3907;0,576083751;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DEWAS; 2008-09;2008;Kharif     ;6144;4238;0,689778646;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DEWAS; 2009-10;2009;Whole Year ;7448;4289;0,575859291;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DEWAS; 2010-11;2010;Kharif     ;6344;2555;0,402742749;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DEWAS; 2011-12;2011;Kharif     ;6000;3482;0,580333333;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DEWAS; 2012-13;2012;Kharif     ;4357;4640;1,064952949;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DEWAS; 2013-14;2013;Kharif     ;3234;2215;0,684910328;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DEWAS; 2014-15;2014;Kharif     ;9000;6000;0,666666667;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DEWAS; 2015-16;2015;Kharif     ;5000;8000;1,6;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DEWAS; 2016-17;2016;Kharif     ;5000;7000;1,4;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DEWAS; 2017-18;2017;Kharif     ;9000;10890;1,21;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DEWAS; 2018-19;2018;Kharif     ;1835;1428;0,778201635;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DEWAS; 2019-20;2019;Kharif     ;1403;1021;0,727726301;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DHAMTARI; 1998-99;1998;Kharif     ;400;200;0,5;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DHAMTARI; 1999-00;1999;Kharif     ;213;164;0,769953052;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DHAR; 1997-98;1997;Kharif     ;5200;3000;0,576923077;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DHAR; 1998-99;1998;Kharif     ;4900;3000;0,612244898;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DHAR; 1999-00;1999;Kharif     ;4753;2502;0,526404376;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DHAR; 2000-01;2000;Kharif     ;4732;1553;0,32819104;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DHAR; 2001-02;2001;Kharif     ;4135;2064;0,499153567;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DHAR; 2002-03;2002;Kharif     ;4948;2522;0,509700889;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DHAR; 2003-04;2003;Kharif     ;4031;2387;0,592160754;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DHAR; 2004-05;2004;Kharif     ;3516;1893;0,538395904;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DHAR; 2005-06;2005;Kharif     ;3305;1697;0,513464448;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DHAR; 2006-07;2006;Kharif     ;3321;1748;0,526347486;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DHAR; 2007-08;2007;Kharif     ;4157;2266;0,545104643;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DHAR; 2008-09;2008;Kharif     ;2982;1701;0,570422535;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DHAR; 2009-10;2009;Whole Year ;3009;1653;0,549351944;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DHAR; 2010-11;2010;Kharif     ;3040;987;0,324671053;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DHAR; 2011-12;2011;Kharif     ;2832;1265;0,446680791;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DHAR; 2012-13;2012;Kharif     ;2648;2279;0,860649547;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DHAR; 2013-14;2013;Kharif     ;2734;2105;0,769934162;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DHAR; 2014-15;2014;Kharif     ;7000;4000;0,571428571;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DHAR; 2015-16;2015;Kharif     ;4000;2000;0,5;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DHAR; 2016-17;2016;Kharif     ;8000;8000;1;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DHAR; 2017-18;2017;Kharif     ;7560;11190;1,48015873;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DHAR; 2018-19;2018;Kharif     ;1133;847;0,747572816;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DHAR; 2019-20;2019;Kharif     ;1073;784;0,730661696;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DINDORI; 1998-99;1998;Kharif     ;2400;2800;1,166666667;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DINDORI; 1999-00;1999;Kharif     ;2308;2657;1,151213172;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DINDORI; 2000-01;2000;Kharif     ;2243;1409;0,628176549;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DINDORI; 2001-02;2001;Kharif     ;2390;2603;1,089121339;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DINDORI; 2002-03;2002;Kharif     ;3103;2218;0,714792137;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DINDORI; 2003-04;2003;Kharif     ;3127;2474;0,791173649;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DINDORI; 2004-05;2004;Kharif     ;3144;2939;0,934796438;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DINDORI; 2005-06;2005;Kharif     ;3095;1577;0,509531502;774,66121;774,66121
